       LAI,stock_foli,stock_stem,stock_root,stock_stor,
          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,
          1.2828,          4.6130,          0.0000,          0.0000,          0.0000,
          1.9593,          7.0457,          0.0000,          1.6530,          0.0000,
          2.4231,          8.7136,          2.3000,          4.3560,          0.0000,
          2.4865,          8.9414,          2.5703,          6.2092,          0.0000,
          2.6359,          9.4788,          2.7556,          6.4624,          0.0000,
          3.0422,         10.9399,          2.7809,          7.0594,          0.0000,
          3.1184,         11.2139,          2.8406,          8.6828,          0.0000,
          3.2597,         11.7220,          3.0030,          8.9873,          0.0000,
          3.3782,         12.1481,          3.0334,          9.5518,          0.0000,
          3.6222,         13.0254,          3.0899,         10.0254,          0.0000,
          3.8735,         13.9292,          3.1372,         11.0001,          0.0000,
          4.2893,         15.4244,          3.2347,         12.0043,          0.0000,
          4.2790,         15.3873,          3.3351,         13.6657,          0.0000,
          4.4362,         15.9524,          3.5013,         14.2855,          0.0000,
          4.5919,         16.5124,          3.5632,         15.5493,          0.0000,
          4.3596,         15.6770,          3.6896,         17.2022,          0.0000,
          4.3604,         15.6799,          3.8549,         17.7217,          0.0000,
          4.4685,         16.0687,          3.9069,         18.5599,          0.0000,
          4.2945,         15.4429,          3.9907,         19.8290,          0.0000,
          4.2833,         15.4028,          4.1176,         20.2489,          0.0000,
          4.2396,         15.2458,          4.1596,         20.8780,          0.0000,
          4.4465,         15.9896,          4.2225,         21.3499,          0.0000,
          4.2779,         15.3834,          4.2697,         22.7176,          0.0000,
          4.7607,         17.1195,          4.4065,         23.1016,          0.0000,
          4.3732,         15.7262,          4.4449,         25.6639,          0.0000,
          4.8955,         17.6041,          4.7011,         26.0449,          0.0000,
          5.2925,         19.0318,          4.7392,         29.0010,          0.0000,
          4.9595,         17.8344,          5.0348,         32.9225,          0.0000,
          4.4790,         16.1065,          5.4269,         35.2359,          0.0000,
          5.0199,         18.0515,          5.6583,         35.8509,          0.0000,
          4.9110,         17.6599,          5.7198,         39.1548,          0.0000,
          4.4236,         15.9074,          6.0502,         41.4470,          0.0000,
          4.8453,         17.4238,          6.2794,         41.8829,          0.0000,
          4.4303,         15.9314,          6.3230,         44.5660,          0.0000,
          5.2643,         18.9304,          6.5913,         45.0896,          0.0000,
          4.9636,         17.8492,          6.6437,         49.4373,          0.0000,
          4.7119,         16.9442,          7.0784,         51.7814,          0.0000,
          5.1684,         18.5854,          7.3128,         53.3237,          0.0000,
          4.9019,         17.6273,          7.4671,         56.9343,          0.0000,
          4.4521,         16.0097,          7.8281,         59.0863,          0.0000,
          4.4423,         15.9745,          8.0433,         59.6441,          0.0000,
          4.6584,         16.7516,          8.0991,         60.6771,          0.0000,
          4.3915,         15.7919,          8.2024,         62.5871,          0.0000,
          4.3599,         15.6782,          8.3934,         63.1547,          0.0000,
          4.3856,         15.7706,          8.4502,         63.9441,          0.0000,
          6.5653,         23.6087,          8.5291,         64.8827,          0.0000,
          5.4120,         19.4617,          8.6230,         74.4925,          0.0000,
          5.1660,         18.5768,          9.5839,         78.8560,          0.0000,
          5.6422,         20.2893,         10.0203,         81.9437,          0.0000,
          4.8572,         17.4664,         10.3291,         87.0550,          0.0000,
          5.9680,         21.4611,         10.8402,         88.8541,          0.0000,
          6.0356,         21.7041,         11.0201,         95.5105,          0.0000,
          5.1797,         18.6261,         11.6857,        102.0371,          0.0000,
          7.6831,         27.6284,         12.3384,        105.1618,          0.0000,
          4.2275,         15.2022,         12.6509,        118.4193,          0.0000,
          8.9850,         32.3100,         13.9766,        119.6861,          0.0000,
          5.2712,         18.9554,         14.1033,        139.2071,          0.0000,
          5.0543,         18.1752,         16.0554,        143.5134,          0.0000,
          5.6881,         20.4545,         16.4860,        146.2161,          0.0000,
         13.7335,         49.3855,         16.7563,        151.5872,          0.0000,
          7.9281,         28.5095,         17.2934,        188.8478,          0.0000,
          6.5341,         23.4965,         21.0195,        194.9148,          0.0000,
          5.0922,         18.3116,         21.6262,        205.9341,          0.0000,
          5.3247,         19.1477,         22.7281,        208.9933,          0.0000,
          7.1440,         25.6900,         23.0340,        212.8850,          0.0000,
          5.6060,         20.1592,         23.4232,        223.9116,          0.0000,
         12.3548,         44.4280,         24.5259,        229.7311,          0.0000,
          8.1486,         29.3023,         25.1078,        261.4923,          0.0000,
         10.7184,         38.5433,         28.2839,        271.0111,          0.0000,
          5.9541,         21.4109,         29.2358,        298.6415,          0.0000,
          5.5467,         19.9458,         31.9988,        302.4437,          0.0000,
         17.0427,         61.2854,         32.3791,        307.0135,          0.0000,
         10.0987,         36.3149,         32.8360,        357.5162,          0.0000,
          8.9660,         32.2418,         37.8863,        366.0848,          0.0000,
          6.6980,         24.0858,         38.7432,        383.0770,          0.0000,
          5.8850,         21.1624,         40.4424,        393.1191,          0.0000,
          6.0873,         21.8899,         41.4466,        399.4969,          0.0000,
          5.5429,         19.9322,         42.0844,        406.2144,          0.0000,
          8.8639,         31.8746,         42.7561,        410.8075,          0.0000,
         10.9065,         39.2196,         43.2154,        428.6324,          0.0000,
          9.0506,         32.5460,         44.9979,        455.6803,          0.0000,
          5.0388,         18.1197,         47.7027,        471.5041,          0.0000,
          6.2561,         22.4970,         49.2851,        474.7594,          0.0000,
          0.0000,          0.0000,         49.6106,        482.4115,          0.0000,
          0.4734,          1.7023,         50.3758,        408.1757,          0.0000,
          0.7272,          2.6149,         42.9523,        410.0672,          0.0000,
          0.8604,          3.0938,         43.1414,        411.0812,          0.0000,
          0.8624,          3.1012,         43.2428,        411.6133,          0.0000,
          0.8414,          3.0257,         43.2960,        411.6215,          0.0000,
          0.7586,          2.7279,         43.2969,        411.5376,          0.0000,
          0.8714,          3.1337,         43.2885,        411.2068,          0.0000,
          0.8810,          3.1679,         43.2554,        411.6576,          0.0000,
          0.8907,          3.2029,         43.3005,        411.6957,          0.0000,
          0.8276,          2.9759,         43.3043,        411.7345,          0.0000,
          0.8263,          2.9715,         43.3082,        411.4823,          0.0000,
          0.7933,          2.8525,         43.2829,        411.4774,          0.0000,
