"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
1,2.136,12.8,5.077,420.58,1.4944608,0.121,9.89583333333333e-05,8.255
2,2.027,6.87,4.653,422.22,1.7722368,0.0968,4.46759259259259e-05,7.727
3,-1.31,7.55,4.41,424.928,0.8247744,0.0891,9.79166666666667e-05,6.198
4,-1.35,5.779,3.977,427.104,2.6526528,0.1043,4.86111111111111e-05,5.735
5,-1.43,5.842,3.019,428.041,2.8100736,0.1297,5.74074074074074e-05,3.611
6,-0.15,5.406,4.566,425.742,0.8492256,0.0922,7.55787037037037e-05,5.095
7,-0.85,5.092,3.179,425.232,1.6638912,0.082,8.98148148148148e-05,5.663
8,0.24,5.07,3.223,423.464,1.6039296,0.0781,0.000111226851851852,4.893
9,3.042,5.11,3.519,424.516,1.0543392,0.0674,4.34027777777778e-05,4.396
10,3.056,9.24,4.179,425.459,0.9962784,0.0752,3.61111111111111e-05,4.011
11,3.219,5.063,3.739,424.722,2.4544512,0.0791,6.55092592592593e-05,4.665
12,3.392,4.625,3.779,423.402,0.6097248,0.0634,2.02546296296296e-05,7.296
13,3.81,6.18,4.14,422.546,1.3130208,0.0724,1.81712962962963e-05,7.272
14,3.81,6.58,4.586,424.14,1.0740384,0.0609,7.75462962962963e-06,3.571
15,2.94,6.04,4.502,426.989,1.5924384,0.0794,2.52314814814815e-05,2.966
16,4.326,6.29,4.772,424.858,3.3888672,0.0999,5.82175925925926e-05,4.985
17,2.19,7.13,4.486,422.636,2.839104,0.0906,2.80092592592593e-05,5.353
18,2.02,7.47,4.292,425.804,1.7368128,0.0858,4.40972222222222e-05,5.506
19,3.67,6.39,4.554,423.589,3.034368,0.1223,7.95138888888889e-05,5.926
20,0.14,5.9,4.029,425.083,3.3820416,0.1297,2.43055555555556e-05,3.358
21,3.24,6.44,4.434,423.075,1.7360352,0.0908,2.30324074074074e-05,6.229
22,4.04,6.75,4.428,422.61,1.3155264,0.0962,1.55092592592593e-05,5.863
23,3.727,5.18,4.169,422.424,1.4628384,0.1063,9.14351851851852e-06,6.411
24,3.641,6.34,4.213,423.33,2.315088,0.1081,3.92361111111111e-05,4.607
25,3.812,5.5,4.264,424.711,1.2590208,0.1089,2.02546296296296e-05,5.048
26,3.856,8.65,4.519,422.701,1.4594688,0.1026,2.92824074074074e-05,9.093
27,3.87,7.501,5.029,423.5,4.4324928,0.0984,3.05555555555556e-05,6.74
28,3.49,6.361,4.937,423.534,1.2050208,0.0675,3.86574074074074e-05,6.879
29,1.7,9.15,5.283,422.241,3.8041056,0.1029,5.71759259259259e-05,10.683
30,1.42,6.535,4.295,424.99,3.0907008,0.0846,0.000103819444444444,6.494
31,1.43,6.4,4.229,422.798,4.6757952,0.0902,5.03472222222222e-05,7.006
32,3.905,8.91,4.673,421.562,3.1548096,0.0924,2.47685185185185e-05,11.1
33,3.864,8.83,4.924,420.864,1.1231136,0.0592,2.5462962962963e-05,5.586
34,3.622,8.675,4.408,420.821,2.4769152,0.0781,5.8912037037037e-05,8.272
35,0.67,6.099,3.504,422.985,2.7933984,0.0841,5.76388888888889e-05,5.816
36,2.56,5.631,3.472,423.584,1.189296,0.0697,0.000162615740740741,8.641
37,0.63,7.02,3.688,423.119,3.0050784,0.0871,7.40740740740741e-05,7.538
38,-0.32,9.97,3.773,422.876,2.5899264,0.0756,8.26388888888889e-05,7.005
39,3.551,6.91,4.42,421.897,4.1764032,0.1,4.02777777777778e-05,9.094
40,1.26,5.57,3.994,422.719,3.1280256,0.0907,0.000128819444444444,6.969
41,0.16,5.967,3.663,426.087,5.0508576,0.1077,7.71990740740741e-05,7.181
42,-2.09,5.487,3.17,427.636,4.5916416,0.1017,8.03240740740741e-05,5.195
43,3.371,7.87,4.07,421.359,2.8837728,0.0966,9.24768518518518e-05,9.589
44,3.369,7.1,4.348,424.137,0.8204544,0.0798,0.000199421296296296,4.436
45,3.14,7.33,4.602,424.308,5.517936,0.1164,9.40972222222222e-05,4.722
46,1.6,7.793,4.272,423.467,5.2240032,0.1153,0.000103125,5.94
47,3.425,7.1,4.394,421.674,2.1136032,0.1078,0.000295833333333333,10.158
48,2.5,7.793,4.296,422.796,6.42168,0.1195,6.23842592592593e-05,8.452
49,1.845,4.586,3.022,423.946,3.4760448,0.047,0.000131898148148148,6.543
50,1.545,5.526,3.347,428.751,4.3119648,0.0744,2.70486111111111e-05,5.497
51,0.67,6.185,4.067,444.889,2.9383776,0.1043,0.000259375,8.648
52,3.454,9.03,4.777,447.525,7.9977024,0.1678,0.000153356481481481,6.813
53,2.625,7.066,3.895,456.618,7.0389216,0.1268,0.000180555555555556,7.967
54,2.721,7.23,3.376,463.22,1.4629248,0.0956,0.000141203703703704,9.337
55,-0.03,7.433,3.355,472.014,5.7319488,0.1052,0.000124421296296296,8.432
56,1.56,9.39,4.736,464.247,8.3346624,0.1598,4.75694444444444e-05,5.633
57,3.488,6.67,4.286,458.692,4.1019264,0.1097,2.09490740740741e-05,8.193
58,2.9,9.62,4.877,463.901,10.2307968,0.2089,4.25925925925926e-05,4.19
59,1.41,5.905,3.825,461.699,3.5045568,0.0999,4.40972222222222e-05,6.52
60,0,9.41,3.577,470.367,9.003312,0.124,4.87268518518518e-05,1.992
61,-1.97,6.27,3.935,471.929,2.0354112,0.0967,2.87037037037037e-05,2.725
62,3.036,7.79,4.901,474.351,3.0765312,0.0956,3.87731481481482e-05,2.421
63,1.95,8.259,4.769,472.044,3.1225824,0.102,8.27546296296296e-05,1.788
64,1.23,8.384,4.523,469.038,8.5084992,0.1721,3.37962962962963e-05,2.672
65,0.58,8.168,5.044,474.145,10.7881632,0.1828,5.05787037037037e-05,1.541
66,-2.09,8.31,4.464,472.678,12.4786656,0.185,3.53009259259259e-05,2.274
67,0.77,9.54,4.969,467.516,11.853216,0.2198,3.21759259259259e-05,4.336
