"doy","NEE_gCm2day","NEE_unc_gCm2day","GPP_gCm2day","GPP_unc_gCm2day","Reco_gCm2day","Reco_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day"
1,1.62530349984,0.58,-0.22352320224,0.74,1.39561657344,0.74,0.564426076599471,0.77
2,1.08297878688,0.58,0.24866580096,0.74,1.3261864752,0.74,0.13874658524741,0.77
3,1.37170879488,0.58,-0.0641103062112,0.74,1.30229944992,0.74,0.117429009840283,0.77
4,0.814600482912,0.58,0.444066233472,0.74,1.25372639808,0.74,0.0691623505363247,0.77
5,0.796207888512,0.58,0.35056959408,0.74,1.13999842368,0.74,0.104324546792161,0.77
6,1.05858330624,0.58,0.224103256416,0.74,1.274510808,0.74,0.101865501265667,0.77
7,0.863525302848,0.58,0.237255647616,0.74,1.09549301472,0.74,0.086310780880768,0.77
8,0.558208235808,0.58,0.523399796928,0.74,1.07980353504,0.74,0.0238452180799394,0.77
9,0.620266768992,0.58,0.491337016992,0.74,1.111078728,0.74,0.0299103908953962,0.77
10,0.91201326624,0.58,0.278684382816,0.74,1.19091659616,0.74,0.121120264689977,0.77
11,0.538086893184,0.58,0.599036163552,0.74,1.13867021376,0.74,0.0516993628394002,0.77
12,1.135463832,0.58,0.00630046752192,0.74,1.14429435264,0.74,-9999,-9999
13,0.751987837152,0.58,0.444826841184,0.74,1.19416448448,0.74,-9999,-9999
14,0.73978179552,0.58,0.535794693408,0.74,1.2706714512,0.74,0.0547231050851869,0.77
15,0.61861377024,0.58,0.672244396416,0.74,1.2843167328,0.74,0.0620537084126458,0.77
16,0.467993727648,0.58,0.880739110944,0.74,1.3405062384,0.74,0.0483793971878092,0.77
17,0.491995933632,0.58,0.831783161088,0.74,1.32268954752,0.74,0.0160581710364884,0.77
18,0.728511726816,0.58,0.570340603296,0.74,1.29840820992,0.74,0.0988732814028863,0.77
19,0.642108558528,0.58,0.686266350048,0.74,1.3280542704,0.74,0.101073976674703,0.77
20,0.505159739136,0.58,0.76131851184,0.74,1.26661418496,0.74,0.114185062784829,0.77
21,0.44058175776,0.58,0.858776952384,0.74,1.29950813376,0.74,-9999,-9999
22,0.84339254592,0.58,0.43419493584,0.74,1.27787283936,0.74,-9999,-9999
23,0.587590729632,0.58,0.639016319808,0.74,1.22713106976,0.74,0.16811542272632,0.77
24,0.38062553184,0.58,0.845464760928,0.74,1.22673675744,0.74,0.0874627107824248,0.77
25,0.570862548288,0.58,0.695508823296,0.74,1.26724716,0.74,0.0399187078798982,0.77
26,0.932949175104,0.58,0.398816819424,0.74,1.33274451168,0.74,0.0333161429655116,0.77
27,0.49357525824,0.58,0.91183167504,0.74,1.40625262944,0.74,0.102693725753486,0.77
28,0.959134626144,0.58,0.440061888096,0.74,1.40013041184,0.74,0.0660586320618878,0.77
29,0.5383400832,0.58,0.91572810336,0.74,1.45487756448,0.74,0.309918920880409,0.77
30,0.413786160288,0.58,0.91996177248,0.74,1.3350066192,0.74,0.133579642089725,0.77
31,0.264826380096,0.58,1.06524510912,0.74,1.33141630176,0.74,0.194972093333515,0.77
