"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3"
1,1.62530349984,0.58,0.564426076599471,0.77,-9999,-9999
2,1.08297878688,0.58,0.13874658524741,0.77,-9999,-9999
3,1.37170879488,0.58,0.117429009840283,0.77,-9999,-9999
4,0.814600482912,0.58,0.0691623505363247,0.77,-9999,-9999
5,0.796207888512,0.58,0.104324546792161,0.77,-9999,-9999
6,1.05858330624,0.58,0.101865501265667,0.77,-9999,-9999
7,0.863525302848,0.58,0.086310780880768,0.77,-9999,-9999
8,0.558208235808,0.58,0.0238452180799394,0.77,-9999,-9999
9,0.620266768992,0.58,0.0299103908953962,0.77,-9999,-9999
10,0.91201326624,0.58,0.121120264689977,0.77,-9999,-9999
11,0.538086893184,0.58,0.0516993628394002,0.77,-9999,-9999
12,1.135463832,0.58,-0.00737275366161947,0.77,-9999,-9999
13,0.751987837152,0.58,-0.00589633907825081,0.77,-9999,-9999
14,0.73978179552,0.58,0.0547231050851869,0.77,-9999,-9999
15,0.61861377024,0.58,0.0620537084126458,0.77,-9999,-9999
16,0.467993727648,0.58,0.0483793971878092,0.77,-9999,-9999
17,0.491995933632,0.58,0.0160581710364884,0.77,-9999,-9999
18,0.728511726816,0.58,0.0988732814028863,0.77,-9999,-9999
19,0.642108558528,0.58,0.101073976674703,0.77,-9999,-9999
20,0.505159739136,0.58,0.114185062784829,0.77,-9999,-9999
21,0.44058175776,0.58,-0.00847019158131578,0.77,-9999,-9999
22,0.84339254592,0.58,-0.00904893433122789,0.77,-9999,-9999
23,0.587590729632,0.58,0.16811542272632,0.77,-9999,-9999
24,0.38062553184,0.58,0.0874627107824248,0.77,-9999,-9999
25,0.570862548288,0.58,0.0399187078798982,0.77,-9999,-9999
26,0.932949175104,0.58,0.0333161429655116,0.77,-9999,-9999
27,0.49357525824,0.58,0.102693725753486,0.77,-9999,-9999
28,0.959134626144,0.58,0.0660586320618878,0.77,-9999,-9999
29,0.5383400832,0.58,0.309918920880409,0.77,-9999,-9999
30,0.413786160288,0.58,0.133579642089725,0.77,-9999,-9999
31,0.264826380096,0.58,0.194972093333515,0.77,-9999,-9999
32,0.492811537536,0.58,0.239085454747783,0.77,-9999,-9999
33,1.08265711104,0.58,-0.0238505556503626,0.77,-9999,-9999
34,0.619613040672,0.58,0.0607833481040859,0.77,-9999,-9999
35,0.397315319616,0.58,0.0299876060035489,0.77,-9999,-9999
36,0.9391896864,0.58,0.0159392694375063,0.77,-9999,-9999
37,0.501234256224,0.58,0.0568123288387615,0.77,-9999,-9999
38,0.633186723456,0.58,0.0488605314899948,0.77,-9999,-9999
39,0.399098026368,0.58,0.00449458110299699,0.77,-9999,-9999
40,0.57670252128,0.58,0.0352797829745565,0.77,-9999,-9999
41,0.343090111968,0.58,0.0876642534486782,0.77,-9999,-9999
42,0.260096707584,0.58,0.0619005017721793,0.77,-9999,-9999
43,0.574556632128,0.58,0.053829321768416,0.77,-9999,-9999
44,1.43094903264,0.58,0.0019443007555922,0.77,-9999,-9999
45,0.148388027328,0.58,0.209449456797292,0.77,-9999,-9999
46,0.277570969344,0.58,0.152639592348759,0.77,-9999,-9999
47,1.05554295072,0.58,0.168840621259786,0.77,-9999,-9999
48,0.153775578816,0.58,0.339132705694145,0.77,-9999,-9999
49,-9999,-9999,0.209299283388614,0.77,-9999,-9999
50,-9999,-9999,0.261593224375037,0.77,-9999,-9999
51,0.584224547616,0.58,0.66983448566211,0.77,-9999,-9999
52,0.293749188768,0.58,1.00006401877369,0.77,-9999,-9999
53,0.452742142176,0.58,0.902209799820308,0.77,-9999,-9999
54,1.12273169472,0.58,1.45687026126381,0.77,-9999,-9999
55,0.586701451584,0.58,0.837966772822048,0.77,-9999,-9999
56,0.398496181248,0.58,0.50906443685118,0.77,-9999,-9999
57,0.42286364496,0.58,1.41656340975218,0.77,-9999,-9999
58,0.575404403616,0.58,1.49811619479419,0.77,-9999,-9999
59,0.780269369472,0.58,0.949864855250151,0.77,-9999,-9999
60,0.123385513248,0.58,0.764490456900955,0.77,-9999,-9999
61,1.0650064464,0.58,0.576848926366131,0.77,-9999,-9999
62,0.964876021056,0.58,0.356114261099153,0.77,-9999,-9999
63,0.6209900208,0.58,0.536686316051786,0.77,-9999,-9999
64,0.680309121024,0.58,1.08889409866916,0.77,-9999,-9999
65,0.502297861824,0.58,0.73508222800803,0.77,-9999,-9999
66,0.306782248608,0.58,0.851740651946808,0.77,-9999,-9999
67,0.321737062176,0.58,0.984929197747319,0.77,-9999,-9999
68,0.643545723168,0.58,0.812460797029711,0.77,-9999,-9999
69,0.95255479872,0.58,0.567938046648266,0.77,-9999,-9999
70,0.764542533888,0.58,0.671934549264903,0.77,-9999,-9999
71,0.509125690944,0.58,1.07272974084494,0.77,-9999,-9999
72,0.773881509888,0.58,0.802849345081426,0.77,-9999,-9999
73,0.633013433568,0.58,0.669431701704686,0.77,-9999,-9999
74,0.211666853376,0.58,0.831106841763437,0.77,-9999,-9999
75,0.823849182144,0.58,0.215325422641528,0.77,-9999,-9999
76,0.283003140384,0.58,0.634611608673678,0.77,-9999,-9999
77,0.000898449960096,0.58,1.29986233712944,0.77,-9999,-9999
78,0.0437073415776,0.58,1.21381685022732,0.77,-9999,-9999
79,-0.042906368736,0.58,1.19104703608571,0.77,-9999,-9999
80,-0.0801015385824,0.58,0.861576748099696,0.77,-9999,-9999
81,0.295131357216,0.58,0.895149494103549,0.77,-9999,-9999
82,0.376358657472,0.58,1.20280977972185,0.77,-9999,-9999
83,0.38759863392,0.58,1.06635025234268,0.77,-9999,-9999
84,-9999,-9999,1.1520521923607,0.77,-9999,-9999
85,0.490098046176,0.58,0.97128662450079,0.77,-9999,-9999
86,0.364909072896,0.58,1.19019619363184,0.77,-9999,-9999
