"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3","WTD_m","WTD_unc_m"
1,1.62530349984,0.58,0.564426076599471,0.77,-9999,-9999,-0.0754166666666667,-0.00754166666666667
2,1.08297878688,0.58,0.13874658524741,0.77,-9999,-9999,-0.0729166666666667,-0.00729166666666667
3,1.37170879488,0.58,0.117429009840283,0.77,-9999,-9999,-0.069375,-0.0069375
4,0.814600482912,0.58,0.0691623505363247,0.77,-9999,-9999,-0.07875,-0.007875
5,0.796207888512,0.58,0.104324546792161,0.77,-9999,-9999,-0.0945833333333333,-0.00945833333333333
6,1.05858330624,0.58,0.101865501265667,0.77,-9999,-9999,-0.0952083333333333,-0.00952083333333333
7,0.863525302848,0.58,0.086310780880768,0.77,-9999,-9999,-0.0683333333333333,-0.00683333333333333
8,0.558208235808,0.58,0.0238452180799394,0.77,-9999,-9999,-0.0635416666666667,-0.00635416666666667
9,0.620266768992,0.58,0.0299103908953962,0.77,-9999,-9999,-0.0779166666666667,-0.00779166666666667
10,0.91201326624,0.58,0.121120264689977,0.77,-9999,-9999,-0.086875,-0.0086875
11,0.538086893184,0.58,0.0516993628394002,0.77,-9999,-9999,-0.09,-0.009
12,1.135463832,0.58,-0.00737275366161947,0.77,-9999,-9999,-0.0983333333333333,-0.00983333333333333
13,0.751987837152,0.58,-0.00589633907825081,0.77,-9999,-9999,-0.10375,-0.010375
14,0.73978179552,0.58,0.0547231050851869,0.77,-9999,-9999,-0.11,-0.011
15,0.61861377024,0.58,0.0620537084126458,0.77,-9999,-9999,-0.112083333333333,-0.0112083333333333
16,0.467993727648,0.58,0.0483793971878092,0.77,-9999,-9999,-0.118541666666667,-0.0118541666666667
17,0.491995933632,0.58,0.0160581710364884,0.77,-9999,-9999,-0.12,-0.012
18,0.728511726816,0.58,0.0988732814028863,0.77,-9999,-9999,-0.12,-0.012
19,0.642108558528,0.58,0.101073976674703,0.77,-9999,-9999,-0.0947916666666667,-0.00947916666666667
20,0.505159739136,0.58,0.114185062784829,0.77,-9999,-9999,-0.100833333333333,-0.0100833333333333
21,0.44058175776,0.58,-0.00847019158131578,0.77,-9999,-9999,-0.11,-0.011
22,0.84339254592,0.58,-0.00904893433122789,0.77,-9999,-9999,-0.11,-0.011
23,0.587590729632,0.58,0.16811542272632,0.77,-9999,-9999,-0.11875,-0.011875
24,0.38062553184,0.58,0.0874627107824248,0.77,-9999,-9999,-0.129166666666667,-0.0129166666666667
25,0.570862548288,0.58,0.0399187078798982,0.77,-9999,-9999,-0.13,-0.013
26,0.932949175104,0.58,0.0333161429655116,0.77,-9999,-9999,-0.132708333333333,-0.0132708333333333
27,0.49357525824,0.58,0.102693725753486,0.77,-9999,-9999,-0.139583333333333,-0.0139583333333333
28,0.959134626144,0.58,0.0660586320618878,0.77,-9999,-9999,-0.144375,-0.0144375
29,0.5383400832,0.58,0.309918920880409,0.77,-9999,-9999,-0.143333333333333,-0.0143333333333333
30,0.413786160288,0.58,0.133579642089725,0.77,-9999,-9999,-0.140625,-0.0140625
31,0.264826380096,0.58,0.194972093333515,0.77,-9999,-9999,-0.116458333333333,-0.0116458333333333
32,0.492811537536,0.58,0.239085454747783,0.77,-9999,-9999,-0.116666666666667,-0.0116666666666667
33,1.08265711104,0.58,-0.0238505556503626,0.77,-9999,-9999,-0.13,-0.013
34,0.619613040672,0.58,0.0607833481040859,0.77,-9999,-9999,-0.118125,-0.0118125
35,0.397315319616,0.58,0.0299876060035489,0.77,-9999,-9999,-0.085,-0.0085
36,0.9391896864,0.58,0.0159392694375063,0.77,-9999,-9999,-0.0639583333333333,-0.00639583333333333
37,0.501234256224,0.58,0.0568123288387615,0.77,-9999,-9999,-0.0716666666666667,-0.00716666666666667
38,0.633186723456,0.58,0.0488605314899948,0.77,-9999,-9999,-0.085,-0.0085
39,0.399098026368,0.58,0.00449458110299699,0.77,-9999,-9999,-0.0852083333333333,-0.00852083333333333
40,0.57670252128,0.58,0.0352797829745565,0.77,-9999,-9999,-0.0825,-0.00825
41,0.343090111968,0.58,0.0876642534486782,0.77,-9999,-9999,-0.0689583333333333,-0.00689583333333333
42,0.260096707584,0.58,0.0619005017721793,0.77,-9999,-9999,-0.0897916666666667,-0.00897916666666667
43,0.574556632128,0.58,0.053829321768416,0.77,-9999,-9999,-0.0958333333333333,-0.00958333333333333
44,1.43094903264,0.58,0.0019443007555922,0.77,-9999,-9999,-0.0729166666666667,-0.00729166666666667
45,0.148388027328,0.58,0.209449456797292,0.77,-9999,-9999,-0.0783333333333333,-0.00783333333333333
46,0.277570969344,0.58,0.152639592348759,0.77,-9999,-9999,-0.0872916666666667,-0.00872916666666667
47,1.05554295072,0.58,0.168840621259786,0.77,-9999,-9999,-0.0595833333333333,-0.00595833333333333
48,0.153775578816,0.58,0.339132705694145,0.77,-9999,-9999,-0.0816666666666667,-0.00816666666666667
49,-9999,-9999,0.209299283388614,0.77,-9999,-9999,-0.09,-0.009
50,-9999,-9999,0.261593224375037,0.77,-9999,-9999,-9999,-9999
51,0.584224547616,0.58,0.66983448566211,0.77,-9999,-9999,-0.06375,-0.006375
