"doy","NEE_gCm2day","NEE_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","soil_water_m3m3","soil_water_unc_m3m3"
1,-9999,-9999,-0.000264679056267468,0.77,0.9147,0.09147
2,-9999,-9999,-0.000131575782344473,0.77,0.914,0.0914
3,-9999,-9999,0.0045006529808763,0.77,0.91441,0.091441
4,0.120232052352,0.58,0.0422748519871527,0.77,0.91594,0.091594
5,0.0228854719872,0.58,0.0367976260773161,0.77,0.91491,0.091491
6,0.0816929000928,0.58,0.0508403729051964,0.77,0.9167,0.09167
7,-9999,-9999,0.0168269783912774,0.77,0.91894,0.091894
8,-9999,-9999,0.00963833530375028,0.77,0.9211,0.09211
9,0.10841513472,0.58,0.0491026971281511,0.77,0.9229,0.09229
10,0.09044279424,0.58,0.0152628509880094,0.77,0.92402,0.092402
11,0.143681183424,0.58,0.0260712741537791,0.77,0.92525,0.092525
12,0.377407735776,0.58,0.0220064101073165,0.77,0.92531,0.092531
13,0.258142786272,0.58,0.0244134583283114,0.77,0.92523,0.092523
14,0.145497095424,0.58,0.0226210839044162,0.77,0.925,0.0925
15,0.170964482976,0.58,0.0920833596140261,0.77,0.9252,0.09252
16,0.168398339904,0.58,0.0668551429906235,0.77,0.92618,0.092618
17,0.293106874752,0.58,0.0540212886094715,0.77,0.92689,0.092689
18,0.317874876768,0.58,0.0556220253223762,0.77,0.92707,0.092707
19,0.318425876352,0.58,0.162386981911688,0.77,0.92693,0.092693
20,0.820199717856,0.58,0.0283138614342736,0.77,0.92919,0.092919
21,1.035923837472,0.58,-0.0220282590115938,0.77,0.92937,0.092937
22,0.758316549888,0.58,0.155895960277623,0.77,0.92807,0.092807
23,1.003105638144,0.58,0.00194657713377378,0.77,0.92732,0.092732
24,0.557397820224,0.58,0.0843835337175052,0.77,0.92622,0.092622
25,0.547146737568,0.58,-0.0301952293748644,0.77,0.92576,0.092576
26,0.412946690112,0.58,0.127101088963852,0.77,0.92486,0.092486
27,0.461725199424,0.58,0.0833949739711725,0.77,0.92492,0.092492
28,0.834539196672,0.58,0.0583174352005811,0.77,0.92421,0.092421
29,0.495664075872,0.58,0.0734448131852285,0.77,0.92355,0.092355
30,-9999,-9999,0.126326188446488,0.77,0.9238,0.09238
31,0.791030982816,0.58,0.0550972550518244,0.77,0.92485,0.092485
32,0.296189774496,0.58,0.116572193288066,0.77,0.9252,0.09252
33,0.982616962464,0.58,0.0250879211394659,0.77,0.92507,0.092507
34,0.465015631968,0.58,0.094771105568367,0.77,0.92366,0.092366
35,0.827722781856,0.58,0.124641009519662,0.77,0.9226,0.09226
36,1.05707869344,0.58,0.0868830838594416,0.77,0.92144,0.092144
37,-0.036112782528,0.58,-0.0365229230713768,0.77,0.92064,0.092064
38,0.14881139424,0.58,0.130569558082257,0.77,0.9205,0.09205
39,0.276078808512,0.58,0.13363311967259,0.77,0.9211,0.09211
40,0.385500477312,0.58,0.0140648911207119,0.77,0.92187,0.092187
