"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
1,2.677,10.264,5.605,342.211,0.7129728,0.0425,0.000366828703703704,8.241
2,6.905,9.375,8.32,339.538,1.5338592,0.0161,9.29282407407407e-05,7.343
3,0.69,8.39,6.694,338.888,2.0013696,0.0051,1.3587962962963e-05,6.025
4,0.743,7.751,3.778,344.788,3.2402592,0.0149,2.22222222222222e-06,5.379
5,0.191,7.543,3.667,347.481,3.0463776,0.0103,5.55555555555556e-07,4.023
6,-2.903,6.678,1.225,356.699,3.4966944,0.0032,1.15740740740741e-07,1.96
7,-4.35,-0.102,-2.538,377.363,2.1847104,0.0018,1.03009259259259e-06,0.529
8,-4.419,3.403,-0.013,367.311,1.7713728,0.0088,9.14351851851852e-07,2.838
9,0.941,5.068,2.355,354.058,3.1189536,0.1104,8.10185185185185e-08,6.965
10,-1.595,5.249,2.378,355.382,2.7175392,0.0192,2.77777777777778e-07,5.229
11,4.098,6.953,5.24,354.253,1.7941824,0.0095,1.22685185185185e-06,4.764
12,0.92,4.957,3.234,355.117,0.9069408,0.0118,7.29166666666667e-06,3.075
13,0.653,4.999,2.667,357.164,2.2441536,0.0032,2.30324074074074e-06,1.873
14,-1.047,4.478,1.968,356.137,3.125088,0.0027,3.99305555555556e-06,2.374
15,-3.653,3.494,-0.649,349.239,3.832272,0.0114,0,1.975
16,-1.872,4.595,0.716,352.975,4.4130528,0.033,2.88194444444444e-06,5.344
17,-6.909,1.071,-2.543,358.579,3.97224,0.0018,1.38888888888889e-07,1.822
18,-7.142,3.382,-3.182,361.058,4.3123968,0.002,0,2.176
19,-4.575,6.112,1.487,354.186,3.6671616,0.1019,4.16666666666667e-07,6.118
20,5.722,10.13,7.947,347.08,1.7364672,0.0066,0.000272337962962963,11.068
21,5.719,12.89,9.387,343.278,0.8204544,0.0406,0.000758391203703704,14.876
22,4.16,7.32,6.075,347.095,2.6660448,0.0522,1.6412037037037e-05,11.801
23,4.918,13.61,10.075,338.573,0.962928,0.0869,0.000383912037037037,14.294
24,2.509,10,7.311,347.177,2.6522208,0.0735,2.46527777777778e-06,8.367
25,6.369,14.26,11.264,342.959,2.29608,0.0378,0.000141203703703704,9.203
26,2.197,8.87,5.738,347.494,5.0149152,0.0815,5.40162037037037e-05,8.221
27,6.634,11.02,8.653,346.273,2.6597376,0.0945,6.99074074074074e-06,8.444
28,5.536,13.37,10.078,343.786,1.6841088,0.066,4.11111111111111e-05,8.752
