,run_day,minT,maxT,srad,co2,DOY,lagged_precip,Lai_loss,burnt_area_fraction,21d_minT,21d_photoperiod,21d_vpd,Forest_mgmt_after_clearing,Mean_T,doy,mint_C,maxt_C
2017-01-01,7.0,1.4990583147321428,6.511753627232143,4.353516,405.305,7.0,-9999.0,0.01,-9999.0,275.49987095424103,29015.72705280333,104.22538998013452,-9999.0,-9999.0,1,1.4990583147321428,6.511753627232143
2017-01-08,14.0,4.031786237444196,7.531023297991071,4.607596,405.7375,14.0,-9999.0,0.29,-9999.0,275.49987095424103,29015.72705280333,104.22538998013452,-9999.0,-9999.0,8,4.031786237444196,7.531023297991071
2017-01-15,21.0,1.518768310546875,5.662240164620536,5.317927999999999,406.17,21.0,-9999.0,0.13,-9999.0,275.49987095424103,29015.72705280333,104.22538998013452,-9999.0,-9999.0,15,1.518768310546875,5.662240164620536
2017-01-22,28.0,0.6154872349330357,6.997201102120536,6.241359999999999,406.23,28.0,-9999.0,1.19,-9999.0,275.33787700627124,29488.65953211621,106.35185723077684,-9999.0,-9999.0,22,0.6154872349330357,6.997201102120536
2017-01-29,35.0,5.415736607142857,9.630480085100446,6.605176999999999,406.29,35.0,-9999.0,0.31,-9999.0,275.4025431315104,30461.303565162256,98.31151893511921,-9999.0,-9999.0,29,5.415736607142857,9.630480085100446
2017-02-05,42.0,-0.2905796595982143,6.035971505301339,7.055509499999999,406.35,42.0,-9999.0,0.02,-9999.0,275.09159807477675,31610.99325904913,90.17330294888036,-9999.0,-9999.0,36,-0.2905796595982143,6.035971505301339
2017-02-12,49.0,3.7622898646763394,9.873404366629464,9.584474,406.41,49.0,-9999.0,1.04,-9999.0,275.7924153645833,32904.91764019247,95.7403077949472,-9999.0,-9999.0,43,3.7622898646763394,9.873404366629464
2017-02-19,56.0,6.708980015345982,9.972364153180804,9.584474,406.47,56.0,-9999.0,0.23,-9999.0,276.3046080712558,34312.52072943347,105.75704324813117,-9999.0,-9999.0,50,6.708980015345982,9.972364153180804
2017-02-26,63.0,4.318612234933036,8.462677001953125,9.380481,406.66,63.0,-9999.0,1.29,-9999.0,277.33281897720025,35806.89591730406,133.30758892759982,-9999.0,-9999.0,57,4.318612234933036,8.462677001953125
2017-03-05,70.0,5.762189592633929,10.458897181919642,10.424578,406.85,70.0,-9999.0,0.16,-9999.0,278.3639873893893,37365.291194051126,142.12658517539094,-9999.0,-9999.0,64,5.762189592633929,10.458897181919642
2017-03-12,77.0,6.060263497488839,11.143354143415179,11.580233999999999,407.04,77.0,-9999.0,1.0,-9999.0,278.5113825168739,38968.9544708971,148.57202490981743,-9999.0,-9999.0,71,6.060263497488839,11.143354143415179
2017-03-19,84.0,4.168186732700893,10.210702078683036,18.429018,407.23,84.0,-9999.0,0.03,-9999.0,278.65348481677825,40602.54873173782,139.54910737641003,-9999.0,-9999.0,78,4.168186732700893,10.210702078683036
2017-03-26,91.0,7.009434291294643,13.399313790457589,18.429018,407.68,91.0,-9999.0,0.1,-9999.0,278.73845343557343,42253.317140407984,170.32065808043188,-9999.0,-9999.0,85,7.009434291294643,13.399313790457589
2017-04-02,98.0,3.4414149693080356,12.707388741629464,20.902886,408.13,98.0,-9999.0,0.35,-9999.0,278.5389110331633,43910.1186848092,194.40588103832843,-9999.0,-9999.0,92,3.4414149693080356,12.707388741629464
2017-04-09,105.0,5.003470284598214,11.817247663225446,20.902886,408.58,105.0,-9999.0,0.27,-9999.0,278.09324187194403,45562.40600914923,220.72407017921913,-9999.0,-9999.0,99,5.003470284598214,11.817247663225446
2017-04-16,112.0,4.725010463169643,12.523018973214286,23.101271999999998,409.03,112.0,-9999.0,0.25,-9999.0,277.9955656920971,47199.18623405897,224.4951644170852,-9999.0,-9999.0,106,4.725010463169643,12.523018973214286
2017-04-23,119.0,2.897434779575893,10.785143171037946,23.605335999999998,409.162,119.0,-9999.0,0.01,-9999.0,277.36146958539274,48807.99433566868,254.78208798778297,-9999.0,-9999.0,113,2.897434779575893,10.785143171037946
