doy,mint_C,maxt_C,airt_C,co2_ppm,swrad_MJm2day,vpd_kPa,precip_kgm2s,wind_spd_ms
1,-0.02192209,7.688078,2.9134943,410,2.8803961,0.09116235,0.00E+00,8.381527
2,5.0880775,10.158078,7.7489114,410,2.3132877,0.2232139,1.15741E-06,13.435029
3,2.908078,9.578077,5.0509944,410,3.066228,0.16580275,0.00E+00,11.21606
4,5.558078,8.998077,6.7793274,410,2.7714598,0.13979868,0.00E+00,12.001666
5,4.958078,10.528078,7.352245,410,3.136716,0.17883707,0.00E+00,10.417773
6,5.3880777,10.658078,7.0955787,410,2.9989438,0.20007017,0.00E+00,15.484186
7,3.888078,11.598078,8.112662,410,1.861524,0.2140174,2.66E-05,16.414932
8,0.9880779,9.198078,5.146828,410,3.1655521,0.17914557,0.00E+00,13.251792
9,0.5780779,5.058078,2.9972448,410,1.227132,0.09888844,4.63E-06,4.9819674
10,-1.3019221,6.558078,2.7426608,410,3.402648,0.10597196,2.31E-06,14.5715475
11,5.898078,11.918077,9.077661,410,2.2171679,0.23863544,1.16E-05,17.41551
12,1.6580778,6.2980776,3.5959947,410,3.3642,0.1339543,0.00E+00,9.5
13,1.7180779,7.4680777,4.5226617,410,1.8326881,0.17918898,0.00E+00,16.844288
14,2.928078,7.2180777,4.5934944,410,3.521196,0.21430838,4.63E-06,13.72953
15,2.338078,6.9080777,4.3264117,410,3.5083797,0.21626015,5.79E-06,16.9
16,3.268078,9.048078,6.0418277,410,2.761848,0.19027315,0.00E+00,12.5
17,2.0280778,6.918078,4.401828,410,3.8319836,0.18487562,0.00E+00,13.5624485
18,0.4680779,5.7180777,2.9434946,410,3.9441242,0.13045415,0.00E+00,10.751744
19,-0.5319221,7.5080776,2.5555778,410,3.325752,0.18528012,0.00E+00,9.5273285
20,3.118078,8.158078,4.725578,410,4.001796,0.13318197,0.00E+00,9.79847
21,4.498078,10.398078,7.0193276,410,3.5244,0.11940356,0.00E+00,9.362159
22,6.228078,10.408078,7.8905773,410,3.457116,0.11438867,0.00E+00,7.930952
23,4.348078,8.678078,6.2568283,410,4.415112,0.12817463,0.00E+00,9.213577
24,5.288078,8.888078,6.958494,410,3.3898318,0.1269256,0.00E+00,8.417244
25,4.1780777,9.788077,6.0972443,410,4.681044,0.16300961,0.00E+00,9.213034
26,-0.30192208,8.038078,4.6359944,410,3.2520602,0.16398181,4.63E-06,10.737783
27,-0.4019221,5.0280776,2.023078,410,4.7739596,0.16850519,0.00E+00,11.198661
28,-1.3119221,5.498078,2.4430778,410,4.13316,0.084150165,1.79E-04,11.92057
29,2.548078,7.8380775,4.9951615,410,3.3257518,0.1494351,1.74E-05,13.003461
30,5.2780776,11.778078,7.763494,410,4.206852,0.20692875,0.00E+00,17.781452
31,4.768078,13.308078,8.408494,410,4.754736,0.22861712,4.17E-05,12.913945
32,2.668078,9.518078,6.828078,410,4.3670516,0.22644188,3.47E-06,14.503103
33,-0.50192213,7.9280777,3.7755778,410,2.3581438,0.11099974,1.27E-05,7.111259
34,3.028078,6.998078,5.047661,410,5.5717564,0.18230085,2.31E-06,15.520632
35,1.1580778,8.368078,4.9539113,410,6.0203156,0.22546365,0.00E+00,19.849432
36,1.1580778,8.888078,4.3714113,410,5.7511797,0.1458766,0.00E+00,8.130191
37,1.1080779,9.058078,4.178911,410,6.321492,0.13908181,0.00E+00,5.6302757
38,0.09807791,9.158078,3.457661,410,5.86332,0.22718682,0.00E+00,9.339165
39,2.4780781,7.9280777,5.9318275,410,6.4848957,0.22021227,7.06E-05,17.91089
40,3.008078,11.208077,6.5626616,410,6.3214917,0.20429423,3.59E-05,17.564169
41,2.4780781,4.558078,3.5701616,410,6.66432,0.16132684,0.00E+00,14.993332
42,2.518078,4.498078,3.244745,410,6.587424,0.13409687,1.04E-05,18.56071
43,-0.7319221,4.598078,2.4997447,410,7.061616,0.18053021,2.31E-06,18.617197
44,-1.1219221,5.7780776,3.2559946,410,3.82878,0.08900151,4.63E-06,10.016986
45,2.798078,10.448078,5.608495,410,4.53366,0.18539124,1.16E-06,14.173567
46,2.428078,10.498077,6.6718273,410,3.021372,0.18292891,2.66E-05,17.531685
47,3.618078,8.098078,5.4522443,410,7.9459195,0.27478628,0.00E+00,18.45481
48,3.308078,7.958078,5.4076614,410,8.240688,0.2132105,0.00E+00,18.916924
49,2.288078,6.438078,4.0384946,410,5.824872,0.16628789,8.10E-06,12.617845
50,1.4480779,8.408078,4.793078,410,4.258116,0.17069888,4.63E-06,14.32236
51,3.288078,7.0680776,4.777245,410,6.6386886,0.12914935,6.13E-05,14.166157
52,3.558078,11.188078,7.397245,410,8.753328,0.23544858,0.00E+00,18.784304
53,2.948078,10.438078,5.864744,410,8.82702,0.29648457,2.31E-06,21.931713
54,2.368078,6.128078,4.027661,410,9.086544,0.17478437,0.00E+00,15.519343
55,0.74807787,2.948078,1.7601613,410,3.521196,0.045582747,8.91E-05,13.807969
56,0.028077908,5.4680777,2.6372447,410,7.16094,0.09227843,1.04E-05,10.704205
57,-0.44192213,4.8880777,1.6839113,410,8.279135,0.12798258,0.00E+00,11.480853
